timestamp,client_ip,domain,query_type,response
2024-01-15 09:12:01,10.0.1.45,chat.openai.com,A,200
2024-01-15 09:14:22,10.0.1.45,api.openai.com,A,200
2024-01-15 09:15:10,10.0.1.88,copilot.github.com,A,200
2024-01-15 09:18:44,10.0.1.102,grammarly.com,A,200
2024-01-15 09:22:31,10.0.1.77,claude.ai,A,200
2024-01-15 09:25:00,10.0.1.33,fireflies.ai,A,200
2024-01-15 09:31:12,10.0.1.55,perplexity.ai,A,200
2024-01-15 09:45:09,10.0.1.99,cursor.sh,A,200
2024-01-15 10:02:18,10.0.1.12,midjourney.com,A,200
2024-01-15 10:15:33,10.0.1.45,character.ai,A,200
2024-01-15 10:22:07,10.0.1.67,notion.so,A,200
2024-01-15 10:35:44,10.0.1.88,otter.ai,A,200
2024-01-15 11:01:09,10.0.1.102,runwayml.com,A,200
2024-01-15 11:14:22,10.0.1.44,codeium.com,A,200
2024-01-15 11:28:55,10.0.1.77,huggingface.co,A,200
